canonical_name,normalized_name,aliases,primary_competition,competition_source,logo_path,country,review_status,confidence,notes
Genk,genk,Genk|genk,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=46
Gante,gante,gante|Gante,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=24
Brujas,brujas,brujas|Brujas,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=18
Club Brugge,brugge,Club Brugge|clubbrugge,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=14
Charleroi,charleroi,Charleroi|charleroi,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
Gent,gent,Gent|gent,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
Oostende,oostende,Oostende|oostende,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
Sint Truiden,sinttruiden,Sint Truiden|sinttruiden,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
Antwerp FC,antwerp,antwerp|Antwerp FC,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Standard Liége,standardliege,Standard Liége|standardliege,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Leuven,leuven,leuven|Leuven,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Standard,standard,Standard|standard,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Zulte Waregem,zultewaregem,Zulte Waregem|zultewaregem,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Eupen,eupen,eupen|Eupen,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Kortrijk,kortrijk,Kortrijk|kortrijk,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Mouscron-Péruwelz,mouscronperuwelz,Mouscron-Péruwelz|mouscronperuwelz,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Waasland Beveren,waaslandbeveren,Waasland Beveren|waaslandbeveren,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Westerlo,westerlo,Westerlo|westerlo,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Anderlecth FEM,anderlecthfem,Anderlecth FEM|anderlecthfem,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Circulo Brujas,circulobrujas,Circulo Brujas|circulobrujas,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Mechelen,mechelen,Mechelen|mechelen,Belgian Pro League,CURATED_TEAM_CATALOG,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Bélgica,belgica,belgica|Bélgica|Belgium,Selecciones,CURATED_NATIONAL_TEAM,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets
Bélgica S21,belgicas21,belgicas21|Bélgica S21,Selecciones,CURATED_NATIONAL_TEAM,,Belgium,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Benin,benin,benin|Benin,Selecciones,CURATED_NATIONAL_TEAM,,Benin,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Islas Bermudas,islasbermudas,Islas Bermudas|islasbermudas,Selecciones,CURATED_NATIONAL_TEAM,,Bermuda,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Wilstermann,wilstermann,wilstermann|Wilstermann,Bolivian Primera División,CURATED_TEAM_CATALOG,,Bolivia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Bolivia,bolivia,bolivia|Bolivia,Selecciones,CURATED_NATIONAL_TEAM,,Bolivia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Zrinjski,zrinjski,zrinjski|Zrinjski,Premier League of Bosnia and Herzegovina,CURATED_TEAM_CATALOG,,Bosnia and Herzegovina,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Bosnia-Herzegovina,bosniaherzegovina,Bosnia-Herzegovina|Bosnia|Bosnia y Herzegovina|Bosnia and Herzegovina,Selecciones,CURATED_NATIONAL_TEAM,,Bosnia and Herzegovina,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=48; Actualizado Viewer 2026-06-27: aliases EduardoLosilla/J68-J71.
Brasil,brasil,Brasil|brasil,Selecciones,CURATED_NATIONAL_TEAM,,Brazil,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=22
Brasil FEM,brasilfem,Brasil FEM|brasilfem,Selecciones,CURATED_NATIONAL_TEAM,,Brazil,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Ludogorets Razgrad,ludogoretsrazgrad,Ludogorets Razgrad|ludogoretsrazgrad,First Professional Football League,CURATED_TEAM_CATALOG,,Bulgaria,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=52
CSKA Sofia,cskasofia,CSKA Sofia|cskasofia,First Professional Football League,CURATED_TEAM_CATALOG,,Bulgaria,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Levski,levski,Levski|levski,First Professional Football League,CURATED_TEAM_CATALOG,,Bulgaria,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Lokomotiv Sofía,lokomotivsofia,Lokomotiv Sofía|lokomotivsofia,First Professional Football League,CURATED_TEAM_CATALOG,,Bulgaria,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Bulgaria,bulgaria,bulgaria|Bulgaria,Selecciones,CURATED_NATIONAL_TEAM,,Bulgaria,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=56
Burundi,burundi,Burundi|burundi,Selecciones,CURATED_NATIONAL_TEAM,,Burundi,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Camerun,camerun,Camerun|camerun,Selecciones,CURATED_NATIONAL_TEAM,,Cameroon,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=16
Canadá,canada,canada|Canadá,Selecciones,CURATED_NATIONAL_TEAM,,Canada,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=14
Canada FEM,canadafem,Canada FEM|canadafem,Selecciones,CURATED_NATIONAL_TEAM,,Canada,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Cabo Verde,caboverde,Cabo Verde|caboverde|Cape Verde,Selecciones,CURATED_NATIONAL_TEAM,,Cape Verde,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
U. Católica,ucatolica,U. Católica|ucatolica,Chilean Primera División,CURATED_TEAM_CATALOG,,Chile,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Chile,chile,Chile|chile,Selecciones,CURATED_NATIONAL_TEAM,,Chile,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
Chile FEM,chilefem,Chile FEM|chilefem,Selecciones,CURATED_NATIONAL_TEAM,,Chile,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
China FEM,chinafem,China FEM|chinafem,Selecciones,CURATED_NATIONAL_TEAM,,China,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Rep. China,repchina,Rep. China|repchina,Selecciones,CURATED_NATIONAL_TEAM,,China,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Tolima,tolima,tolima|Tolima,Categoría Primera A,CURATED_TEAM_CATALOG,,Colombia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Colombia,colombia,Colombia|colombia,Selecciones,CURATED_NATIONAL_TEAM,,Colombia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=12
Colombia FEM,colombiafem,Colombia FEM|colombiafem,Selecciones,CURATED_NATIONAL_TEAM,,Colombia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Costa Rica,costarica,Costa Rica|costarica,Selecciones,CURATED_NATIONAL_TEAM,,Costa Rica,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=14
Costa Rica FEM,costaricafem,Costa Rica FEM|costaricafem,Selecciones,CURATED_NATIONAL_TEAM,,Costa Rica,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Din. Zagreb,dinzagreb,Din. Zagreb|dinzagreb,Croatian Football League,CURATED_TEAM_CATALOG,,Croatia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=96
Hajduk Split,hajduksplit,Hajduk Split|hajduksplit,Croatian Football League,CURATED_TEAM_CATALOG,,Croatia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Osijek FEM,osijekfem,Osijek FEM|osijekfem,Croatian Football League,CURATED_TEAM_CATALOG,,Croatia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Rijeka,rijeka,Rijeka|rijeka,Croatian Football League,CURATED_TEAM_CATALOG,,Croatia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Croacia,croacia,croacia|Croacia,Selecciones,CURATED_NATIONAL_TEAM,,Croatia,APPROVED,HIGH,Logo not confirmed in current assets
Croacia S21,croacias21,Croacia S21|croacias21,Selecciones,CURATED_NATIONAL_TEAM,,Croatia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Curazao,curazao,curazao|Curazao|Curaçao,Selecciones,CURATED_NATIONAL_TEAM,,Curaçao,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Apoel,apoel,apoel|Apoel,Cypriot First Division,CURATED_TEAM_CATALOG,,Cyprus,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=46
AEL Limassol FC,aellimassol,AEL Limassol FC|aellimassol,Cypriot First Division,CURATED_TEAM_CATALOG,,Cyprus,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Omonia,omonia,omonia|Omonia,Cypriot First Division,CURATED_TEAM_CATALOG,,Cyprus,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Pafos,pafos,pafos|Pafos,Cypriot First Division,CURATED_TEAM_CATALOG,,Cyprus,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Chipre,chipre,chipre|Chipre,Selecciones,CURATED_NATIONAL_TEAM,,Cyprus,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=32
S. Praga,spraga,S. Praga|spraga,Czech First League,CURATED_TEAM_CATALOG,,Czech Republic,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=32
Viktoria Plzen,viktoriaplzen,Viktoria Plzen|viktoriaplzen,Czech First League,CURATED_TEAM_CATALOG,,Czech Republic,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=32
Plzen,plzen,Plzen|plzen,Czech First League,CURATED_TEAM_CATALOG,,Czech Republic,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=22
Spartak Praga,spartakpraga,Spartak Praga|spartakpraga,Czech First League,CURATED_TEAM_CATALOG,,Czech Republic,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=20
Sparta Praha,spartapraha,Sparta Praha|spartapraha,Czech First League,CURATED_TEAM_CATALOG,,Czech Republic,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=16
Sigma Olomuc,sigmaolomuc,Sigma Olomuc|sigmaolomuc,Czech First League,CURATED_TEAM_CATALOG,,Czech Republic,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Slavia Praga,slaviapraga,Slavia Praga|slaviapraga,Czech First League,CURATED_TEAM_CATALOG,,Czech Republic,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Slovacko FEM,slovackofem,Slovacko FEM|slovackofem,Czech First League,CURATED_TEAM_CATALOG,,Czech Republic,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Repub. Checa,repubcheca,Repub. Checa|Rep.Checa|República Checa|Chequia|Czech Republic|Czechia,Selecciones,CURATED_NATIONAL_TEAM,,Czech Republic,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=38; Actualizado Viewer 2026-06-27: aliases EduardoLosilla/J68-J71.
RD Congo,rdcongo,RD Congo|rdcongo|DR Congo|Congo DR|República Democrática del Congo,Selecciones,CURATED_NATIONAL_TEAM,,DR Congo,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Copenhague,copenhague,copenhague|Copenhague,Danish Superliga,CURATED_TEAM_CATALOG,,Denmark,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=52
Kobenhavn,kobenhavn,kobenhavn|Kobenhavn,Danish Superliga,CURATED_TEAM_CATALOG,,Denmark,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=28
Midtjylland,midtjylland,midtjylland|Midtjylland,Danish Superliga,CURATED_TEAM_CATALOG,,Denmark,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=18
Nordsjaelland,nordsjaelland,nordsjaelland|Nordsjaelland,Danish Superliga,CURATED_TEAM_CATALOG,,Denmark,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Brøndby,brøndby,brndby|Brøndby,Danish Superliga,CURATED_TEAM_CATALOG,,Denmark,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Esbjerg,esbjerg,Esbjerg|esbjerg,Danish Superliga,CURATED_TEAM_CATALOG,,Denmark,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Randers Freja,randersfreja,Randers Freja|randersfreja,Danish Superliga,CURATED_TEAM_CATALOG,,Denmark,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Aarhus,aarhus,aarhus|Aarhus,Danish Superliga,CURATED_TEAM_CATALOG,,Denmark,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Fredericia,fredericia,fredericia|Fredericia,Danish Superliga,CURATED_TEAM_CATALOG,,Denmark,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Vejle,vejle,vejle|Vejle,Danish Superliga,CURATED_TEAM_CATALOG,,Denmark,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Dinamarca,dinamarca,Dinamarca|dinamarca,Selecciones,CURATED_NATIONAL_TEAM,,Denmark,APPROVED,HIGH,Logo not confirmed in current assets
Dinamarca S21,dinamarcas21,Dinamarca S21|dinamarcas21,Selecciones,CURATED_NATIONAL_TEAM,,Denmark,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Republica Dominicana,republicadominicana,Republica Dominicana|republicadominicana,Selecciones,CURATED_NATIONAL_TEAM,,Dominican Republic,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Ldu Quito,lduquito,Ldu Quito|lduquito,Ecuadorian Serie A,CURATED_TEAM_CATALOG,,Ecuador,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Ecuador,ecuador,Ecuador|ecuador,Selecciones,CURATED_NATIONAL_TEAM,,Ecuador,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=12
Al-ahly,alahly,Al-ahly|alahly,Egyptian Premier League,CURATED_TEAM_CATALOG,,Egypt,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Egipto,egipto,Egipto|egipto,Selecciones,CURATED_NATIONAL_TEAM,,Egypt,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=14
El Salvador,salvador,El Salvador|elsalvador,Selecciones,CURATED_NATIONAL_TEAM,,El Salvador,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Manchester City,manchestercity,Manchester City|manchestercity,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=304
Chelsea,chelsea,Chelsea|chelsea,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=268
Arsenal,arsenal,arsenal|Arsenal,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=248
Liverpool,liverpool,liverpool|Liverpool,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=246
Manch. United,manchunited,Manch. United|manchunited,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=246
Tottenham,tottenham,Tottenham|tottenham,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=178
Newcastle,newcastle,newcastle|Newcastle,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=78
Aston Villa,astonvilla,Aston Villa|astonvilla,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=74
Everton,everton,Everton|everton,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=68
Leicester,leicester,leicester|Leicester,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=64
West Ham,westham,West Ham|westham,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=60
Southampton,southampton,Southampton|southampton,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=56
Brighton,brighton,Brighton|brighton,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=50
Crystal Palace,crystalpalace,Crystal Palace|crystalpalace,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=50
Wolverhampton,wolverhampton,Wolverhampton|wolverhampton,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=50
Burnley,burnley,Burnley|burnley,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=42
Bournemouth,bournemouth,Bournemouth|bournemouth,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=36
Watford,watford,Watford|watford,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=36
Brentford,brentford,Brentford|brentford,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=34
Fulham,fulham,Fulham|fulham,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=34
Leeds,leeds,leeds|Leeds,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=34
Nottingham,nottingham,nottingham|Nottingham,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=32
Sunderland,sunderland,Sunderland|sunderland,Premier League,CURATED_TEAM_CATALOG,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=22
Inglaterra,inglaterra,inglaterra|Inglaterra|England,Selecciones,CURATED_NATIONAL_TEAM,,England,APPROVED,HIGH,Logo not confirmed in current assets
Inglaterra S21,inglaterras21,Inglaterra S21|inglaterras21,Selecciones,CURATED_NATIONAL_TEAM,,England,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Estonia,estonia,Estonia|estonia,Selecciones,CURATED_NATIONAL_TEAM,,Estonia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=28
Islas Feroe,islasferoe,Islas Feroe|islasferoe,Selecciones,CURATED_NATIONAL_TEAM,,Faroe Islands,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=26
Finlandia,finlandia,Finlandia|finlandia,Selecciones,CURATED_NATIONAL_TEAM,,Finland,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=60
HJK Helsinki,hjkhelsinki,HJK Helsinki|hjkhelsinki|HJK|Helsingin JK|Helsingin Jalkapalloklubi,Veikkausliiga,CURATED_TEAM_CATALOG,,Finland,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Kups Kuopio,kupskuopio,Kups Kuopio|KuPS|Kuopion Palloseura,Veikkausliiga,CURATED_TEAM_CATALOG,,Finland,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2; Actualizado Viewer 2026-06-27: aliases EduardoLosilla/J68-J71.
Paris FEM,parisfem,Paris FEM|parisfem,Division 1 Féminine,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Paris SG,parissg,Paris SG|parissg|PSG,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=264
Lyon,lyon,lyon|Lyon,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=136
Marseille,marseille,Marseille|marseille,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=110
Lille,lille,Lille|lille,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=108
Mónaco,monaco,monaco|Mónaco,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=106
Rennes,rennes,Rennes|rennes,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=48
Montpellier,montpellier,montpellier|Montpellier,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=26
